,Bangor(Maine),Rutland(Vermont),Portland(Maine),Montpelier(Vermont),Bridgeport(Connecticut),Laconia(New Hampshire),Manchester(New Hampshire),Worcester(Massachusetts),Brockton(Massachusetts),Biddeford(Maine),Fall River(Massachusetts),New Haven(Connecticut),Winooski(Vermont),Portsmouth(New Hampshire),Warwick(Rhode Island),Providence(Rhode Island),New Bedford(Massachusetts),Concord(New Hampshire),Rochester(New Hampshire),Sanford(Maine),Chelsea(Massachusetts),Boston(Massachusetts),Pittsfield(Massachusetts),Auburn(Maine),Westbrook(Maine),Hartford(Connecticut),Nashua(New Hampshire),Buffalo(New York),Burlington(Vermont),Albany(New York),Cambridge(Massachusetts),Stamford(Connecticut),New York City(New York),Newport(Rhode Island),Lewiston(Maine),Augusta(Maine),Springfield(Massachusetts),Keene(New Hampshire),Quincy(Massachusetts),Lebanon(New Hampshire)
Boston(Massachusetts),inf,inf,inf,inf,inf,inf,inf,67.0,39.2,inf,82.0,inf,inf,inf,inf,inf,93.0,inf,inf,inf,8.2,0.0,215.0,inf,inf,inf,inf,inf,inf,inf,10.8,inf,inf,inf,inf,inf,142.0,inf,21.0,inf
Pittsfield(Massachusetts),inf,143.0,inf,inf,inf,inf,inf,160.0,242.0,inf,240.0,inf,inf,inf,inf,inf,261.0,inf,inf,inf,226.0,215.0,0.0,inf,inf,inf,inf,inf,inf,65.0,216.0,inf,inf,inf,inf,inf,92.0,inf,235.0,inf
Auburn(Maine),185.0,inf,54.0,inf,inf,inf,inf,inf,inf,80.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,106.0,inf,inf,inf,0.0,54.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.5,65.0,inf,inf,inf,inf
Westbrook(Maine),214.0,inf,12.1,inf,inf,inf,inf,inf,inf,36.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,55.0,inf,inf,inf,54.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,55.0,98.0,inf,inf,inf,inf
Hartford(Connecticut),inf,inf,inf,inf,89.0,inf,inf,105.0,inf,inf,inf,63.0,inf,inf,inf,120.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,122.0,inf,inf,inf,inf,46.7,inf,inf,inf
Nashua(New Hampshire),inf,inf,inf,inf,inf,101.0,32.8,83.0,inf,inf,inf,inf,inf,103.0,inf,inf,inf,59.0,98.0,inf,73.0,inf,inf,inf,inf,inf,0.0,inf,inf,inf,67.0,inf,inf,inf,inf,inf,inf,82.0,inf,146.0
Buffalo(New York),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,468.0,inf,inf,744.0,inf,inf,inf,inf,inf,inf,inf
Burlington(Vermont),inf,113.0,inf,69.0,inf,inf,inf,inf,inf,inf,inf,inf,5.1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Albany(New York),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,65.0,inf,inf,inf,inf,468.0,inf,0.0,inf,inf,271.0,inf,inf,inf,inf,inf,inf,inf
Cambridge(Massachusetts),inf,inf,inf,inf,inf,inf,inf,72.0,59.0,inf,103.0,inf,inf,inf,inf,inf,99.0,inf,inf,inf,8.5,10.8,216.0,inf,inf,inf,67.0,inf,inf,inf,0.0,inf,inf,inf,inf,inf,139.0,inf,28.4,inf
Stamford(Connecticut),inf,inf,inf,inf,39.5,inf,inf,inf,inf,inf,inf,69.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,122.0,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
New York City(New York),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,744.0,inf,271.0,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
Newport(Rhode Island),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,34.7,161.0,inf,inf,50.0,61.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
Lewiston(Maine),167.0,inf,58.0,inf,inf,inf,inf,inf,inf,82.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,101.0,inf,inf,inf,3.5,55.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,54.0,inf,inf,inf,inf
Augusta(Maine),123.0,inf,89.0,inf,inf,inf,inf,inf,inf,132.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,143.0,inf,inf,inf,65.0,98.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,54.0,0.0,inf,inf,inf,inf
Springfield(Massachusetts),inf,216.0,inf,inf,inf,inf,inf,83.0,166.0,inf,160.0,inf,inf,inf,inf,inf,182.0,inf,inf,inf,149.0,142.0,92.0,inf,inf,46.7,inf,inf,inf,inf,139.0,inf,inf,inf,inf,inf,0.0,129.0,158.0,inf
Keene(New Hampshire),inf,inf,inf,inf,inf,129.0,90.0,inf,inf,inf,inf,inf,inf,172.0,inf,inf,inf,87.0,144.0,inf,inf,inf,inf,inf,inf,inf,82.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,129.0,0.0,inf,99.0
Quincy(Massachusetts),inf,inf,inf,inf,inf,inf,inf,92.0,25.6,inf,70.0,inf,inf,inf,inf,68.0,80.0,inf,inf,inf,23.5,21.0,235.0,inf,inf,inf,inf,inf,inf,inf,28.4,inf,inf,inf,inf,inf,158.0,inf,0.0,inf
Lebanon(New Hampshire),inf,81.0,inf,96.0,inf,90.0,115.0,inf,inf,inf,inf,inf,inf,181.0,inf,inf,inf,97.0,153.0,inf,inf,inf,inf,inf,inf,inf,146.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,99.0,inf,0.0
